id,headlines,target
709,Factbox-Alibaba and Ant's ties are starting to fray under China's glare,0.0
710,US Sanctions Help China Supercharge Its Chipmaking Industry,0.0
711,"Germany Plans Coal U-Turn, Gas Funding to Offset Russian Cut",0.0
712,Suncor Energy: Do Fundamentals and Technicals Align?,0.0
713,Natural Gas In The Limelight As Power Demand Soars,0.0
714,Elon Musk joins the growing chorus fearing a U.S. recession. But there are stocks for that.,0.0
715,Growing forecasts for U.S. recession may spell more trouble for stocks,0.0
716,Meta Bet Scrapped at Brazil Money Manager on TikTok Competition,0.0
717,GBP/USD Price Forecast – The British Pound Continues to Struggle With the Upside,0.0
718,Southwestern Energy plans $1 billion share repurchase,0.0
719,"Netflix: Another round of job cuts loom amid sagging stock price, user slowdown",0.0
720,Valneva Nearly Doubles After Pfizer Invests $95 Million For A Hefty Stake,0.0
721,Here's How to Pay Less in Taxes on Your IRA,0.0
722,"Recession Calls Grow, Mnuchin on Inflation Threat: Qatar Update",0.0
723,"Fintech Stocks To Buy, Watch Or Sell As Apple Jumps Into Buy Now, Pay Later",0.0
724,Walmart Discloses It Holds a Stake in Symbotic. The AI Company’s Stock Ends Lower.,0.0
725,Spirit Airlines Stock Soars As JetBlue Sweetens Takeover Bid to $3.65 Billion,0.0
726,Charles Schwab shaves fees on seven passive ETFs and three actively-managed ETFs,0.0
727,These Are The 5 Best Stocks To Buy And Watch Now,0.0
728,A Dozen Stocks to Play an Energy Sector Rebound,0.0
729,SEC v Ripple: XRP in a Rut as Investors Await Court Ruling,0.0
730,Stock market strategists all want one thing right now: Morning Brief,0.0
731,"JetBlue Lifts Offer for Spirit Airlines, Commits to Selling Assets",0.0
732,"Pornhub Parent Company’s CEO, COO Are Departing as Scrutiny Builds Over Alleged Nonconsensual Content",0.0
733,"Stocks are still too expensive and rising rates may shock financial system, Seth Klarman warns",0.0
734,5G Stocks To Buy And Watch As Wireless Firms Move Beyond Smartphones,0.0
735,Pimco Says Bond Market Outlook Improves After ‘Historic’ Moves,0.0
736,RIVN Stock: Rivian Deal Brings Wind Power To Illinois Plant; Is Rivian Stock A Buy?,0.0
737,Stock market set for worst half-year performance since 1932. Recession threat will dictate 2nd half: Deutsche Bank,0.0
738,Two top Black executives leave Amazon amid changes in leadership,0.0
739,Switzerland Imports Russian Gold for First Time Since War,0.0
740,Grocery Shares: Now Might Be the Time to Stock Up. Here’s Why.,0.0
741,"Raytheon's HQ move 'lowers the profile' of Mass. economy, professor says",0.0
742,The stock market decline is undercutting retirement saving,0.0
743,Under Armour Stock Just Lost a Bull,0.0
744,Gamestop Corp Stock Earns Another Relative Strength Rating Upgrade,0.0
745,"China’s Electric Car Exports More Than Double, Mostly to Europe",0.0
746,Elon Musk's Teslas Dominate in This Key Category,0.0
747,ABB Postpones $750 Million Electric-Mobility IPO on Market Rout,0.0
748,"SunPower and Sunnova Energy Are Downgraded. Buy Sunrun Instead, Goldman Says.",0.0
749,Apple’s iPhone Output Said to Have Soared in China. That’s Some Good News Amid the Tech Selloff.,0.0
750,12 reasons why the stock market will be higher on Dec. 31. Just how excited should that make you?,0.0
751,Refiner Phillips 66 stock rallies more than 6% in best performance since late 2020,0.0
752,It's a Cannabis Buyers' Market,0.0
753,Is the Stock Market Closed Today? Here Are the Hours for Juneteenth.,0.0
754,US banks’ ability to ride out downturn in spotlight as recession fears grow,0.0
755,"Trudeau Is Shirking Canada’s Inflation Fight, Scotiabank Says",0.0
756,"EV Stocks Up: LI, NIO Release New Models, FDX Gets Delivery From GM",0.0
757,Is Verizon Stock A Buy Or Sell? 5G Ramp-Up Key To Revenue Growth,0.0
758,"US House Prices Are Likely to Drop as Rates Rise, Capital Economics Says",0.0
759,"Morningstar: Lululemon, Other Fallen Stocks Still Overvalued",0.0
760,Bearish Option Trade Can Also Generate Some Income On IBM Stock,0.0
761,Dow Jones Jumps: Tesla Soars Despite Job Cuts; Kellogg Pops On Breakup Plan,0.0
762,Cenovus Energy Attracts Big Money,0.0
763,Colombian Markets Sink After Leftist Wins Presidential Election,0.0
764,Why Diversifying Your Portfolio Might Be Hurting Your Retirement Plans,0.0
765,Li Auto Stock A Buy As Hot China EV Maker Unveils L9 SUV?,0.0
766,"FedEx and Lennar Earnings, June Economic Data, and More to Watch This Week",0.0
767,Hong Kong's iconic Jumbo Floating Restaurant capsizes at sea,0.0
768,"Rep. Marjorie Taylor Greene's husband just spent up to $295,000 on stock in companies that contradict the Republican lawmaker's BLM and LGBTQ stances",0.0
769,Mass. hiker dies on Mt. Washington - the final texts between him and his wife,0.0
770,'Shocked' Korean traveler: Credit card-sized steak served as inflight meal on $5K business-class trip,0.0
771,ABC News Anchor Shuts Down Chris Christie’s False Jan. 6 Equivalence,0.0
772,Watch: Charging crocodile is sent fleeing by a frying pan,0.0
773,"Uvalde school shooting: Officer whose wife was shot was disarmed and 'escorted' away, Texas DPS chief says",0.0
774,Cambodian catches world's largest recorded freshwater fish,0.0
775,"A gas station manager who raised over $20,000 to make up for a mistake that cost him his job says company refuses to accept the money",0.0
776,Protesters attack Maldives Yoga Day event,0.0
777,Tesla Model S catches fire three weeks after getting sent to junkyard,0.0
778,Oregon City mayoral candidate says the city’s homeless will live like ‘the Japanese’ if he wins,0.0
779,Democrat Rep. Henry Cuellar declared winner in Texas recount,0.0
780,"Youths break into $8 million Florida home, throw party and boxing matches, cops say",0.0
781,Florida medical examiner releases cause of death for Louisville COVID-19 vaccine leader,0.0
782,"Donald Trump likely no longer in contempt, New York attorney general says",0.0
783,Liz Cheney says the House January 6 committee is 'certain' Trump doesn't want his former top White House lawyer to testify,0.0
784,"4 arrested, including 15-year-old, for brutal attack on Chinese PhD student near UW-Madison",0.0
785,Two Canadians killed in Mexican Caribbean beach resort,0.0
786,Local gas station lowering prices to $2.38/gallon Wednesday,0.0
787,'Hey buddy': Man films bear in Florida neighborhood,0.0
788,Sweltering streets: Hundreds of homeless die in extreme heat,0.0
789,What Happened When France Sent Low-Income Kids to Wealthy Schools,0.0
790,Fox News host says January 6 committee testimony is not 'not truthful' and could be used in campaign ads,0.0
791,U.S. Supreme Court rebuffs UnitedHealth Group challenge on Medicare overpayments,0.0
792,Korean former Navy SEAL Ken Rhee shares video of tense Ukraine mission evacuating wounded soldier,0.0
793,Family shocked after 17-year-old Gwinnett girl sentenced to 140 years after shooting woman to death,0.0
794,Fact check: Fabricated statement from Donald Trump spreads online amid Jan. 6 hearings,0.0
795,"Biden appears to lean toward gas tax holiday, pushes back after Chevron says oil industry has been vilified",0.0
796,U.S. Supreme Court rules against DaVita over dialysis coverage,0.0
797,A former US general compared Russia’s war in Ukraine to a ‘heavyweight boxing match’ and said a ‘knockout blow’ is coming,0.0
798,TikToker explains why recruiters don’t usually hire the best candidate in viral video,0.0
799,"US, Iran in tense sea incident; Tehran preps new centrifuges",0.0
800,"Netflix issues statement addressing ""unfortunate accident"" that killed two The Chosen One actors",0.0
801,Biden confirms he's nearing a decision on student-loan forgiveness and says a payment pause extension is 'on the table',0.0
802,"Karen Gillan on experiencing impostor syndrome, anxiety: 'You can't really reason with someone when they're in that state of mind'",0.0
803,Ukraine war: Kyiv launches 'massive' night-time mission to retake Snake Island,0.0
804,"Florida woman charged with hate crimes, held on $20,000 bail for anti-Asian pepper spray attack",0.0
805,North Korea abruptly stops importing COVID containment goods from China,0.0
806,American Airlines ending service to three cities due to pilot shortage,0.0
807,Strangers pitch in to help man mow his lawn,0.0
808,"This Teacher's ""Active Shooter Backpack"" Is Going Viral, And People Are Sad That This Is An Educator's New Reality",0.0
809,Disturbing video shows Atlanta VA employee attack elderly Vietnam veteran,0.0
810,Edelman CEO on gun safety: 2nd Amendment ‘is just kind of an excuse for delaying’,0.0
811,Pence Says He’s Never Seen a President Lie as Much as … Biden,0.0
812,Chinese father-of-2 works 19-hour shifts to help 7 additional children from struggling families,0.0
813,Supreme Court limits reach of federal gun crime law,0.0
814,Ukrainian High School Grads Pose For Heartbreaking Photos In War-Torn Homeland,0.0
815,"Priced out of their homeland, a new wave of Americans seeks better, cheaper living in Mexico",0.0
816,"Macau hotel locked down after COVID case, 700 people to be quarantined-media",0.0
817,Kasich says 'even clowns were embarrassed' by Texas GOP convention that included declaration that Biden 'was not legitimately elected' and called homosexuality an 'abnormal lifestyle choice',0.0
818,Only 18 states recognize Juneteenth as paid holiday,0.0
819,Return of the superjumbo: A380 makes comeback despite high oil prices,0.0
820,"Quicksand sucks hiker into chest-deep mud in Utah gorge, park rangers say",0.0
821,Denmark keeps F-16 fighter jets flying due to Russia threat,0.0
822,Filipino lawyer gunned down inside Uber vehicle in Philadelphia dies,0.0
823,"Elon Musk's transgender daughter seeks name change as she does not wish to be related to him 'in any way, shape or form'",0.0
824,"Brittney Griner's wife said American embassy error ruined anniversary phone call, has 'zero trust in our government right now'",0.0
825,"After a Pivotal Period in Ukraine, U.S. Officials Predict the War's Path",0.0
826,"‘This is how you guys get killed out here,’ cop tells Black driver questioning traffic stop",0.0
827,Wisconsin election investigator appeals contempt order,0.0
828,‘Stealth Omicron’ was just overtaken in the U.S. by a new subvariant that evades immunity,0.0
829,"Texas Republicans adopt far-right platform rejecting Biden's election, reserving right to secede",0.0
830,"Dams, taps running dry in northern Mexico amid historic water shortages",0.0
831,Dartmouth is stripping student loans from its financial aid packages to allow students to 'prepare for lives of impact with fewer constraints',0.0
832,US intel officials admit they didn't see that Russia's military was a 'hollow force.' Here's what they did see and how they missed it.,0.0
833,California eyes banning loitering for prostitution arrests,0.0
834,Woman arrested after Berks homeowner returns and finds lock changed,0.0
835,Arizona Republican calls push to overturn 2020 'juvenile',0.0
836,Heading To Japan? Americans Now Need A $28 Visa To Enter. Here's What Else To Know,0.0
837,This New England City Is Getting a Train Directly From NYC — for the First Time Since the '50s,0.0
838,"Royals, horses, show-stopping hats: Royal Ascot in pictures",0.0
839,Judge says Fox News's parent company must face Dominion's defamation lawsuit because of Rupert Murdoch's alleged role in pushing election lies,0.0
840,Driver Kidnapped At Gunpoint Saves Self With Genius Move To Attract Help,0.0
841,Anne Hathaway says expected Roe v. Wade decision 'makes me really angry',0.0
842,"Fearing severe complications from COVID-19, some people are seeking a surgical solution",0.0
843,200 Russian deserters wandering in woods in Kharkiv Oblast,0.0
844,"Chevron CEO urges Biden to stop criticizing Big Oil, take new approach",0.0
845,A massive unfinished cruise ship is likely to be sold for scrap because no one wants to buy it,0.0
846,Plane runs of runway at Miami airport; 3 injured,0.0
847,Man accused in fatal Wisconsin parade crash changes plea,0.0
848,Tanzania monkey attack: Baby dies after being snatched,0.0
849,"In new guidelines, US experts say most supplements are a 'waste of money' — and warned 1 popular product can cause hair loss",0.0
850,Russia tells Lithuania: your citizens will feel the pain over Kaliningrad,0.0
851,'Not safe anymore': Portland confronts the limits of its support for homeless services,0.0
852,Captured Russian pilot turns out to be Wagner mercenary,0.0
853,"Two detained Americans endangered Russian servicemen, Kremlin says",0.0
854,"NASA is starting to shut down the Voyager probes, which launched in 1977 and made it deeper into space than anything since",0.0
855,Tropics watch: Forecasters watching one tropical wave in Caribbean. All is quiet elsewhere,0.0
856,Former Tesla worker rejects $15M payout in racial abuse lawsuit,0.0
857,"Alcatraz Escapees, Now in Their 90s, STILL Sought by U.S. Marshals Wielding Digitally Aged Images of Fugitives",0.0
858,Black woman Trump falsely accused of carrying ‘suitcases’ full of ballots to testify at Jan. 6 hearings,0.0
859,Russia's Medvedev suggests U.S. should beg for nuclear arms talks,0.0
860,College grads are snaring high-paying jobs. How the labor shortage made way for better benefits.,0.0
861,Juneteenth: Bill Nye 'Science Guy' schooled after posting about America's founding and slavery,0.0
862,‘Who does this?’: Family of victims speak at Johnson County man’s sentencing in hit-and-run,0.0
863,The fighting in Ukraine shows the vulnerability of one of modern militaries' most important weapons,0.0
864,"'The impossible': Ukraine's secret, deadly rescue missions",0.0
865,Mysterious kayak found off Virginia coast. Officials need help deciphering its clues,0.0
866,"Motorcycle rider dies after veering off Blue Ridge Parkway in Virginia, officials say",0.0
867,Abrams tries to flip script on guns and crime in Georgia,0.0
868,‘Master of Disguise’ on the Run After Mexican Authorities Find Girlfriend’s Remains,0.0
869,Two women still hospitalized after brutal attack in China,0.0
870,January 6 hearing: Mark Meadows said he knew Mike Pence stopping certification was illegal,0.0
871,"Bodybuilder collecting disability gets caught through Instagram posts, NY officials say",0.0
872,Mexico president will ask Biden to look into WikiLeaks' Assange case,0.0
873,"Two men arrested for damaging ""Z"" installation in Russia",0.0
874,"Hunters shoot, kill grizzly bear. Idaho Fish and Game says it was in self-defense",0.0
875,"Putin fears ""spark of democracy"", Germany's Scholz says",0.0
876,Why simply standing on one leg can tell you whether your life is in the balance,0.0
877,"South Dakota’s attorney general convicted on impeachment charges, removed from office",0.0
878,"Rudy Giuliani admitted 'we just don't have the evidence' of voter fraud, according to testimony",0.0
879,Did an Elephant Really Return to a Funeral for Vengeance? Y'all need to stop laughing!,0.0
880,NASA fuels moon rocket for 1st time in countdown rehearsal,0.0
881,"People Are Sharing Their Worst And Wildest Airport Stories, And It Makes Me Want To Throw My Passport In The Trash",0.0
882,'Black-gun' culture is wrong. It's time for responsible gun owners to call it out,0.0
883,Iranian engineer's death at military site attributed to 'industrial sabotage' - agency,0.0
884,GOP Sen. Ron Johnson tried to give a slate of fake electors from Michigan and Wisconsin to Mike Pence on January 6: 'Do not give that to him',0.0
885,Recession. Millions of layoffs. Mass unemployment.  Hornet’s nest stirred up by Larry Summers’s latest forecast.,0.0
886,EU urges Russia to refrain from 'escalatory steps' over Kaliningrad,0.0
887,"Catfish stabs child in the chest, creating a medical emergency, Florida officials say",0.0
888,Moscow fumes over EU blockade of Kaliningrad,0.0
889,Chicago police unveil long-awaited foot pursuit policy,0.0
890,The Supreme Court Ruled Taxpayer Dollars Can Go Toward Religious Schools. LGBTQ Advocates Are Worried,0.0
891,The F-14 Tomcat Is a Badass Plane (And an Endangered Species),0.0
892,"Amid row with West, Putin ally arrives in Russia's Kaliningrad -RIA",0.0
893,A man contracted a new antibiotic-resistant 'super gonorrhea' strain after having sex on an international trip,0.0
894,"Investors should 'gorge' on stocks if the market falls another 18% as next bull market could send S&P 500 to 8,900 by 2028: Bank of America",0.0
895,"No place for burkinis in Grenoble public pools, rules top French court",0.0
896,"With sky-high gas prices, dealers suddenly have more of these types of vehicles to sell",0.0
897,Exclusive: Trump’s Team Setting Up Eastman to Take Blame for Jan. 6,0.0
898,Jesuits: 2 priests killed in northern Mexico,0.0
899,Paul Haggis Sex Assault Accuser’s Grim Details Revealed: ‘I Was Raped for Days’,0.0
900,US Army looks to address capability gaps as it rebuilds Arctic operations,0.0
901,Swimming-Trans athlete Ivy slams FINA policy as 'unscientific',0.0
902,‘Don’t open the door for anyone’: Former election worker describes being target for Trump,0.0
903,Justice Sonia Sotomayor Voices 'Growing Concern' Over Conservative Supreme Court,0.0
904,'It always wins': North Korea may declare COVID-19 victory,0.0
905,Kellyanne Conway said vows from Trump critic husband 'were broken': 'There's been a lot of hurt',0.0
906,This May Be the COVID Variant Scientists Are Dreading,0.0
907,Independent Al Gross says he's ending Alaska House bid,0.0
908,Georgia woman dies after diving into lake trying to save granddaughter who drowned,0.0
909,2 former Tesla employees have filed a lawsuit against the company claiming its mass layoffs violated federal law,0.0
910,"For K-pop supergroup BTS, questions remain about its future",0.0
911,Dave Chappelle Decides Against Allowing His High School’s Theater to Be Named After Him Amid Controversies,0.0
912,Joe Scarborough Rattled by ‘RINO Hunting’ Ad: ‘Every Republican Needs to Call This Out’￼,0.0
913,"Howitzers arrive in Ukraine, first in pledged weapons package from Germany",0.0
914,Tangshan: Chinese police deputy dismissed over attack on female diners,0.0
915,Russia is facing its worst recession in 30 years — and the 'Putin Generation' is paying the price,0.0
916,Poland wants formal rules for Israeli Holocaust study trips,0.0
917,"Millions of years ago, the megalodon ruled the oceans – why did it disappear?",0.0
918,The Texas GOP is pushing for a referendum to decide if the state will secede from the US,0.0
919,Monsoon covers half of India; rainfall approaches average -weather dept,0.0
920,Why is Lithuania risking Russia’s wrath over Kaliningrad?,0.0
921,How will the delay in Disney's relocation to Orlando's Lake Nona affect the region's role as a corporate destination? Experts weigh in.,0.0
922,U.S. may let Tajikistan hold on to fleeing Afghan aircraft,0.0
923,'We followed the Constitution': Raffensperger on facing Trump pressure,0.0
924,Bitcoin Advances as Concerns Over Deleveraging ‘Cascades’ Ease,1.0
925,Brussels’ Fledgling Crypto Industry Flexes Its Muscles,1.0
926,Bitcoin and Ether Rise. Crypto Traders Find Optimism in Powell’s Testimony.,1.0
927,New Solar-Powered Bitcoin Miner Launches Operations Despite Difficult Market,1.0
928,Singapore Will Crack Down on Bad Crypto Behavior: Report,1.0
929,5 Metrics for Analyzing NFT Projects,1.0
930,Rolex and Patek Returns Beat Vintage Cars and Bitcoin,1.0
931,Crypto Exchange Bitget Plans to Double Workforce as Peers Cut Back in Bear Market,1.0
932,The Cryptocurrency Crash Could Lead to a Wave of M&A,1.0
933,eBay purchases NFT art marketplace KnownOrigin,1.0
934,Shenzhen financial regulators vow to prevent ‘further’ crypto risks,1.0
935,eBay acquires NFT marketplace KnownOrigin,1.0
936,India tax authorities to discuss 28% GST on crypto trading next week,1.0
937,Bitcoin mining difficulty reading drops 2.35% in latest adjustment,1.0
938,Binance Launches Zero-Fee Bitcoin Trading for American Customers,1.0
939,Bitcoin (BTC) Hit Reverse in Response to Fed Chair Powell Testimony,1.0
940,"Bitcoin, cryptocurrencies return to red with soaring UK inflation",1.0
941,Crypto Market Daily Highlights – June 22 – Powell Sinks DOGE and ETH,1.0
942,First Mover Asia: DeFi’s Resilience During the Market Slowdown; Bitcoin Slumps Near $20K,1.0
943,Binance.US Eliminates Spot Trading Fees on Bitcoin,1.0
944,Market Wrap: BTC Falls Below $20K as Crypto Bounce Loses Steam,1.0
945,"Stocks go nowhere, Powell calls recession a 'possibility'",1.0
946,SolidusX revolutionizes Cryptocurrency trading for its users,1.0
947,Crypto.com Obtains Regulatory Approval for Payment Services in Singapore,1.0
948,"Bitcoin Lingers Around $20,000 Again as Risk-Off Mood Remains",1.0
949,Dow Jones Up As Powell Gives This Recession Warning; Bitcoin Crumbles Again; 3 Stocks Eye Buy Points,1.0
950,Citibank & Swiss Company METACO to Develop Institutional Crypto Custody,1.0
951,"Fed Chair Powell Says Soft Landing Will Be 'Challenging,' Calls for Crypto Regulation",1.0
952,How Web3 and Bitcoin Billionaires Will Revolutionize Philanthropy,1.0
953,What are crypto custodians? Yahoo U,1.0
954,‘There’s no safe haven anywhere’: Crypto hackers are everywhere. Will the crypto crash make them even worse? One man tells how he fell victim.,1.0
955,Short Bitcoin ETF Debuts At Best—Or Worst—Time,1.0
956,"BoE Explains Why Crypto Crash Survivors Could Become Future Amazons, eBays",1.0
957,Coinbase Rival Cuts Bitcoin Trading Fees to Zero. A Price War Could Be Next.,1.0
958,Mystery Surrounds $500 Million Outflow From Bitcoin ETF,1.0
959,Crypto Broker Voyager Digital Says Three Arrows Capital Hasn’t Repaid $666 Million in Loans,1.0
960,"Shopify Unveils New Features, Updates, Including NFT Support",1.0
961,The Crypto Industry Is Trying to Bail Itself Out. It Might Not Be Enough.,1.0
962,Coinbase Shares Slump With Crypto Prices as Binance.US Starts Zero-Fee BTC Trading,1.0
963,Do Kwon’s Crypto Empire Fell in a $40 Billion Crash. He’s Got a New Coin for You.,1.0
964,Crypto Exchange dYdX to Start a Standalone Blockchain,1.0
965,Rebecca Minkoff Launches NFT Capsule Collection in Collaboration With Mavion,1.0
966,Fed Chair Powell Drives Bitcoin (BTC) into Positive Territory,1.0
967,Crypto platform Voyager Digital shares plunge 60% after revealing $665 million exposure to embattled hedge fund; considers issuing default notice,1.0
968,Crypto broker Voyager’s stock craters 60% after disclosure it’s unlikely to get $660 million back from wobbling hedge fund Three Arrows Capital,1.0
969,"Bitcoin and ETH Price Prediction: Recovery Isn’t Over Yet, TRX Could Take-off",1.0
970,First Mover Americas: BTC Holds $20K as Altcoins Retrace,1.0
971,Doodles NFT Project Taps Pharrell Williams as Chief Brand Officer,1.0
972,"Bitcoin Looks Undervalued, According to This Reputable Pricing Model",1.0
973,Bitcoin cayó por debajo de $20K; Citi prevé en un 50% la posibilidad de recesión,1.0
974,"Tough times in the bitcoin mines. Pressure from the miners set to keep weighing, says analyst",1.0
975,"Most large cryptocurrencies decline on Dogecoin, Bitcoin Cash drops",1.0
976,Ledger Launches NFT Marketplace and Services Platform for Enterprises,1.0
977,Crypto broker Voyager likely to issue default notice to Three Arrows,1.0
978,EBay Acquires NFT Marketplace KnownOrigin for Undisclosed Amount,1.0
979,"Coinbase Stock Tumbles, Robinhood Slumps As BinanceUS Eliminates Bitcoin Trading Fee",1.0
980,"Fintech infrastructure startup Prime Trust raises $100M to add IRAs, crypto staking",1.0
981,"Prime Trust Raises $107M With Eyes on Crypto IRA, Tokenized Asset Products",1.0
982,Binance.US Launches Zero-Fee Bitcoin Trading,1.0
983,Crypto broker FalconX valued at $8 billion after $150 million raise led by GIC,1.0
984,Hate Bitcoin? There’s a new ETF that allows you to easily short the controversial crypto coin,1.0
985,End of GPU Mining? Crypto Crash Forces Miners To Sell Graphic Cards,1.0
986,Chainalysis Launches 24/7 Hotline for Crypto Crime Victims,1.0
987,"Bitcoin Is Dropping Again. Why $20,000 Needs to Hold.",1.0
988,"Bitcoin Is Leading Indicator of Stock-Market Bottom, Mobius Says",1.0
989,DappRadar Report Shows Prominent NFT Collections Seeing a 40% Increase Amidst a Harsh Bear Market,1.0
990,"Singapore Grants In-Principle Licenses to Crypto.com, Two Others",1.0
991,"Morning Crypto Brief: BTC Slips to Mid-$20Ks, ETH Pivots $1.1K Amid Pre-Powell Caution",1.0
992,Binance.US Starts Zero-Fee Trading for Bitcoin in Pricing War,1.0
993,What Ben Bernanke and other bitcoin skeptics get wrong about crypto — even after this latest crash,1.0
994,"Bitcoin (BTC) Tests Support at $20,000 with Powell in the Driving Seat",1.0
995,The Morning After: Cryptocurrency may be more centralized than you thought,1.0
996,"Financial watchdogs should do more to protect crypto investors, Swiss regulator says",1.0
997,Singapore grants Crypto.com in-principle approval toward offering payment services,1.0
998,Crypto platform FalconX doubles valuation to $8 billion in new funding round,1.0
999,FalconX Doubles Valuation to $8 Billion Despite Crypto Downturn,1.0
1000,Crypto giant Tether to launch sterling-pegged stablecoin,1.0
1001,Bitcoin market meltdown prompts fresh warning in China that value of world's leading cryptocurrency could fall to zero,1.0
1002,Turmoil in global market for blockchain-based DeFi products leaves investors holding the bag,1.0
1003,Bitcoin Miner Iris Energy Increases 2022 Hashrate Estimate to 4.3 EH/s,1.0
1004,"Crypto winter is coming, with companies announcing more than 1,700 layoffs so far in June alone",1.0
1005,Bitcoin Slips to Nearly $20K; Citi Sees 50% Chance of Recession,1.0
1006,STEPN’ing it up with crypto move-to-earn,1.0
1007,The Fire Burning Beneath Crypto’s Meltdown,1.0
1008,"Pumped by Elon Musk, Dogecoin gains amid slow market recovery",1.0
1009,Crypto lender BlockFi gets $250 million bailout from FTX,1.0
1010,China’s Guizhou province to slap backdated power charges on uncovered crypto miners,1.0
1011,Bitcoin Tumble Sends Thai Tech Stock From First to Last in World,1.0
1012,BTC Markets first crypto firm to win Australian Financial Service License,1.0
1013,"Crypto Market Daily Highlights – June 21 – BNB, DOGE, SOL Impress",1.0
1014,"First Mover Asia: Bitcoin Holds Steady Over 20K, USDC's ‘Flippening’ of USDT and the Stablecoin Bear Market",1.0
1015,Black Hills Signs Deal to Power Bitcoin Mining in Wyoming,1.0
1016,Uniswap Along With Bitcoin Rallies by 14% As NFT Marketplace Launches,1.0
1017,"BlockFi CEO Prince on Credit Pact With FTX, Crypto Plunge: Q&A",1.0
1018,"Crypto Price Analysis June 21: WAVES, SHIB, ZIL, COMP, AAVE",1.0
1019,Crypto firm BlockFi signs $250 million revolving credit agreement with FTX,1.0
1020,UPDATE 2-Crypto firm BlockFi signs $250 mln revolving credit agreement with FTX,1.0
1021,‘A cold dark place’ — Michael Burry thinks the market has plenty of room to plunge. But he finally sees value in these 4 stocks,0.0
1022,Here’s how much the average working boomer has saved for retirement,0.0
1023,"Mars has secretly become bigger than Coca-Cola, and the reason might not have much to do with candy bars",0.0
1024,Senate Advances Bill to Raise Age for RMDs to 75,0.0
1025,Big Changes to 401(k) Retirement Plans Get Closer With Senate Vote,0.0
1026,"Berkshire Hathaway buys 9.6 million more Occidental shares, raises stake to over 16%",0.0
1027,Seeking at Least 8% Dividend Yield? Analysts Suggest 2 Dividend Stocks to Buy,0.0
1028,Half of Provo home sellers just slashed their asking price—these 19 housing markets aren’t far behind,0.0
1029,Abby Joseph Cohen Says Era of Everything Going Up Is Over,0.0
1030,Goldman Sachs: These 3 Stocks Have Over 40% Upside Despite Market Uncertainty,0.0
1031,Most stocks can't keep up with the breakneck pace of inflation — but these 3 dividend stocks are pulling ahead with yields as high as 12%,0.0
1032,Deep rift lies behind Biden's criticism of oil and gas industry,0.0
1033,Microsoft Stock: When to Buy if the Selloff Continues?,0.0
1034,"A bear market can be a boon for young investors. For retirees, it’s a different story",0.0
1035,JP Morgan Analyst Lowers Price Targets On These 4 Popular REITs As Recession Fears Rise,0.0
1036,MO Stock: Is Marlboro Maker Altria A Buy As FDA Reportedly Plans Juul Crackdown?,0.0
1037,Is It Too Late To Invest In The Oil Price Rally?,0.0
1038,Exclusive-Inside the hangar at the centre of $1 billion Airbus-Qatar jet dispute,0.0
1039,"U.S. tech companies yank job offers, leaving college grads scrambling",0.0
1040,"SoFi Stock: Near-Death Experience, or Deep Discount Bargain?",0.0
1041,Warren Buffett Can’t Keep His Hands Off Occidental as Berkshire Hathaway Buys More Stock,0.0
1042,NIO Stock Is Up 30% This Month. Morgan Stanley Sees More Gains Ahead,0.0
1043,Altria Stock Dives As This Decision Threatens To Vaporize Juul Investment,0.0
1044,Biden Proposed a Gas Tax Suspension. Here’s Why Oil Prices Are Falling.,0.0
1045,Retirement accounts in the red? This simple strategy could be the key to keeping your cool.,0.0
1046,This dividend fund is down only 3% this year vs. the S&P’s 20% decline. Here are the manager’s top stock picks.,0.0
1047,Got a Cash Windfall? It Could Affect Your Social Security,0.0
1048,A New EV Company Arrives This Week. It’s Worth More Than Rivian.,0.0
1049,How bear market rallies trap dip buyers and frustrate investors: Morning Brief,0.0
1050,SoftBank’s Son Faces Shareholders Shaken by $34 Billion Loss,0.0
1051,The U.S. housing market is teetering on recession. Will the economy soon follow?,0.0
1052,Elon Musk Says Tesla’s New Factories Are ‘Gigantic Money Furnaces’,0.0
1053,Putin signs decree on new scheme to service Eurobonds as default looms,0.0
1054,"AMD Is the Chip Stock to Buy on the Dip, Morgan Stanley Says",0.0
1055,Polestar shares expected to debut Friday on Nasdaq after SPAC deal approved,0.0
1056,"Juul Ban Will Send Altria’s Strategy, and $13 Billion, Up in Smoke",0.0
1057,JPMorgan China Fund Ramps Up Bets on Tech as Bullish Calls Grow,0.0
1058,"Tesla Is a Once-in-a-Lifetime Opportunity, This Analyst Says. Why He’s Still a Bull.",0.0
1059,"Gas Prices Are Coming Down, With or Without Biden’s Tax Holiday",0.0
1060,Occidental Petroleum shares steady after latest Berkshire Hathaway purchase revealed,0.0
1061,Are Any Marijuana Stocks On U.S. Exchanges Buys Amid More Layoffs?,0.0
1062,Veteran strategist is betting the market will avoid a recession—and rally a whopping 40% by year-end,0.0
1063,Is J&J Stock A Buy On Its Recent Spate Of Positive Cancer News?,0.0
1064,Exxon Stock Has Soared This Year. Why This Analyst Sees More Gains Ahead.,0.0
1065,Mullen Automotive stock heads for six-day winning streak after company discusses patent applications,0.0
1066,"Facebook, Netflix and PayPal Are Value Stocks Now",0.0
1067,Germany Warns of Lehman-Like Contagion From Russian Gas Cuts,0.0
